campaing,WP4_ID,nep
2,3546,-0.5460339196095733
2,3547,-0.526028877677792
2,3548,-0.5382510232181297
2,3549,-0.5377049884794101
2,3550,-0.5452204458250656
2,3551,-0.5020232014611222
2,3552,-0.49226187479354827
2,3553,-0.5613661031364271
2,3554,-0.586013943992119
2,3555,-0.6495784981180823
2,3556,-0.6803571302894288
2,3557,-0.6633171664912477
2,3558,-0.5955091944442331
2,3559,-0.5874039708582568
2,3560,-0.5977338862203584
2,3561,-0.6227197520506574
2,3562,-0.653251425462849
2,3563,-0.7031450208063104
2,3564,-0.609236835543213
2,3565,-0.6101548853943694
2,3566,-0.43751530169860586
2,3567,-0.47124868574629136
2,3568,-0.47671733322391524
2,3569,-0.5527888618721176
2,3570,-0.6443206279138328
2,3571,-0.5884458326759199
2,3572,-0.5898842544981215
2,3573,-0.6216122266968265
2,3574,-0.44204042936210935
2,3575,-0.5895426659614129
2,3576,-0.6316174646456161
2,3577,-0.5796193829827077
2,3578,-0.5856579849343972
2,3579,-0.5929233255408353
2,3580,-0.6071619050892394
2,3581,-0.7969522665056122
2,3582,-0.5747822532469671
2,3583,-0.5696231779528427
2,3584,-0.6488273375104412
2,3585,-0.6535078706555093
2,3586,-0.5006093706837716
2,3587,-0.5804003064428227
2,3588,-0.6186690746006595
2,3589,-0.5833703556598786
2,3590,-0.647024712568839
2,3592,-0.6075896827657729
2,3593,-0.5578528060774337
2,3594,-0.555587288779669
2,3595,-0.6763531903377481
2,3596,-0.651516151188255
2,3597,-0.6483275194400941
2,3598,-0.6006727917733742
2,3599,-0.5176998860535945
2,3600,-0.6447681270703607
2,3601,-0.5618108300528853
2,3602,-0.5002487013737705
2,3603,-0.5046824005325501
