WP4,campaign,co2,pu
3605,1,1962.8001536832098,103605
3605,2,1781.6212392084794,203605
3605,3,1624.3086045759528,303605
3605,4,2220.4102590759785,403605
3605,5,1284.1008038431999,503605
3605,6,1589.7677163875467,603605
3606,1,2442.3007574248754,103606
3606,2,2368.1416743934706,203606
3606,3,2146.803130250208,303606
3606,4,2718.3241193015474,403606
3606,5,1170.904039893397,503606
3606,6,2231.8926808740152,603606
3607,1,846.3399014774554,103607
3607,2,772.740670756624,203607
3607,3,606.9978136298555,303607
3607,4,774.0929177828014,403607
3607,5,486.0186431542422,503607
3607,6,684.2379212683181,603607
3608,1,1354.858272638754,103608
3608,2,1269.7841020409414,203608
3608,3,980.0272443648921,303608
3608,4,1381.3572703683492,403608
3608,5,677.4242853955984,503608
3608,6,1128.1987266971068,603608
3609,1,999.4682232727357,103609
3609,2,901.8877498333745,203609
3609,3,667.5527526764074,303609
3609,4,947.9309203303303,403609
3609,5,504.9472635455471,503609
3609,6,799.8189053088549,603609
3610,1,1478.3556238562273,103610
3610,2,1450.300405203248,203610
3610,3,1332.7848786134464,303610
3610,4,1701.4869191215143,403610
3610,5,740.9904636187973,503610
3610,6,1353.542414734432,603610
3611,1,4163.212407095087,103611
3611,2,3975.6280210394625,203611
3611,3,3110.5577375918197,303611
3611,4,4762.6694276134895,403611
3611,5,2472.713142527111,503611
3611,6,3515.2190944945987,603611
3612,1,2205.5421425737277,103612
3612,2,2033.1884106098564,203612
3612,3,1495.1511303500924,303612
3612,4,3758.0374324778986,403612
3612,5,492.6459792152034,503612
3612,6,2260.3589157763727,603612
3613,1,1201.0202585972766,103613
3613,2,1115.6408145962241,203613
3613,3,900.2367036543427,303613
3613,4,1352.3944715465154,403613
3613,5,613.9512116178241,503613
3613,6,955.4244671693891,603613
3614,1,3666.7367078812995,103614
3614,2,3437.765470980196,203614
3614,3,2559.0447040441877,303614
3614,4,3410.550251926723,403614
3614,5,1851.5778055492594,503614
3614,6,2828.4778701745163,603614
3615,1,720.9577178829511,103615
3615,2,702.0811121407614,203615
3615,3,384.37394950248176,303615
3615,4,481.26568363307774,403615
3615,5,173.00633134594358,503615
3615,6,717.0965261350848,603615
3616,1,3443.423729646047,103616
3616,2,3168.435327749131,203616
3616,3,2764.3989629095727,303616
3616,4,3735.0777563144165,403616
3616,5,1924.6641486781434,503616
3616,6,2879.7976711088304,603616
3617,1,2682.0442484131654,103617
3617,2,2672.669912603963,203617
3617,3,1774.67257682336,303617
3617,4,2249.0243294250477,403617
3617,5,493.9687657545709,503617
3617,6,2702.3035770080983,603617
3618,1,2321.142523457327,103618
3618,2,2291.0605697637193,203618
3618,3,1593.507479294507,303618
3618,4,2184.086161759041,403618
3618,5,475.58137014907254,503618
3618,6,2257.6253849527684,603618
3619,1,1826.7141845424753,103619
3619,2,1843.5794243472087,203619
3619,3,1158.903846479368,303619
3619,4,1933.2294222437572,403619
3619,5,1067.1012749655767,503619
3619,6,1799.692026897274,603619
3620,1,1352.9209362820159,103620
3620,2,1174.8319498662297,203620
3620,3,606.333900329879,303620
3620,4,915.3137486487776,403620
3620,5,539.0622448152976,503620
3620,6,937.1624163588565,603620
3621,1,1705.8116173291903,103621
3621,2,1645.3056625006268,203621
3621,3,1164.6130220796213,303621
3621,4,1565.976891556469,403621
3621,5,989.9055010767246,503621
